sample_id,Station,gene_id,taxonomy,length,mapped_counts,unmapped_counts,RPKM,RPKM_abund,assigned_tax
ERR538173,23,000000709657__c1317-600,Eukaryota;Haptista;Haptophyta,718,2,0,389.6370569777957,0.0002314527607839,Haptophytes
ERR538173,23,000000870024__879-1596,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,2,0,389.6370569777957,0.0002314527607839,Synechococcus
ERR538173,23,000000894920__c3818-3101,Eukaryota;Sar;Stramenopiles;Ochrophyta;Pelagophyceae,718,2,0,389.6370569777957,0.0002314527607839,Pelagophytes
ERR538173,23,000000899785__942-1134,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,193,15,0,10871.479543136944,0.0064578917970017,Synechococcus
ERR538173,23,000000957006__c1046-323,Eukaryota;Haptista;Haptophyta,724,2,0,386.4080205940018,0.0002295346439818,Haptophytes
ERR538173,23,000000961894__315-1038,Eukaryota;Haptista;Haptophyta,724,1,0,193.2040102970009,0.0001147673219909,Haptophytes
ERR538173,23,000001077097__c2197-1510,Eukaryota;Viridiplantae;Chlorophyta,688,1,0,203.3135224637045,0.0001207725888392,Chlorophytes
ERR538173,23,000001084213__c978-237,Eukaryota;Sar;Stramenopiles;Ochrophyta,742,13,0,2450.722567271392,0.0014557817177607,Other eukaryotic phytoplankton
ERR538173,23,000001105024__c364-1,Eukaryota;Sar;Stramenopiles;Ochrophyta,364,1,0,384.2848996017272,0.0002282734646192,Other eukaryotic phytoplankton
ERR538173,23,000001107407__579-1086,Eukaryota;Haptista;Haptophyta,508,1,0,275.35374695871786,0.0001635660258295,Haptophytes
ERR538173,23,000001230954__1500-2217,Eukaryota;Haptista;Haptophyta,718,2,0,389.6370569777957,0.0002314527607839,Haptophytes
ERR538173,23,000001278849__c1286-596,Eukaryota;Sar;Stramenopiles;Ochrophyta,691,7,0,1417.015809240522,0.0008417377537625,Other eukaryotic phytoplankton
ERR538173,23,000001283468__c130-1,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,130,1,0,1075.997718884836,0.000639165700934,Synechococcus
ERR538173,23,000001341251__261-978,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,64,0,12468.385823289464,0.0074064883450849,Synechococcus
ERR538173,23,000001424075__3-447,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,445,1,0,314.3364122584914,0.0001867225643178,Synechococcus
ERR538173,23,000001468797__735-1452,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,167,0,32534.694257645944,0.019326305525456,Synechococcus
ERR538173,23,000001532089__c927-819,Eukaryota;Haptista;Haptophyta,109,1,0,1283.3000316975108,0.0007623077167102,Haptophytes
ERR538173,23,000001642229__135-717,Eukaryota;Haptista;Haptophyta,583,1,0,239.93088071188453,0.0001425240842562,Haptophytes
ERR538173,23,000001690889__3195-3921,Eukaryota;Sar;Stramenopiles;Ochrophyta,727,1,0,192.4067447799569,0.0001142937291904,Other eukaryotic phytoplankton
ERR538173,23,000001801138__9930-10659,Eukaryota;Sar;Stramenopiles;Ochrophyta,730,1,0,191.61603213017628,0.0001138240289334,Other eukaryotic phytoplankton
ERR538173,23,000001813960__717-1031,Eukaryota;Haptista;Haptophyta,315,1,0,444.0625506508847,0.0002637826702267,Haptophytes
ERR538173,23,000001818262__c299-1,Eukaryota;Haptista;Haptophyta,299,2,0,935.65019033464,0.0005557962616817,Haptophytes
ERR538173,23,000001830095__105-861,Eukaryota;Haptista;Haptophyta,757,1,0,184.7816426090207,0.0001097642551141,Haptophytes
ERR538173,23,000001902255__4503-5220,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,3,0,584.4555854666936,0.0003471791411758,Synechococcus
ERR538173,23,000001935960__435-753,Eukaryota;Sar;Stramenopiles;Ochrophyta,319,1,0,438.4943681975821,0.0002604750505373,Other eukaryotic phytoplankton
ERR538173,23,000001940297__3-288,Eukaryota;Sar;Stramenopiles;Ochrophyta,286,2,0,978.17974444076,0.0005810597281218,Other eukaryotic phytoplankton
ERR538173,23,000001998079__c380-104,Eukaryota;Haptista;Haptophyta,277,8,0,4039.847031192164,0.0023997557002576,Haptophytes
ERR538173,23,000001999328__c186-1,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,186,4,0,3008.165665699541,0.0017869148628262,Synechococcus
ERR538173,23,000002194141__3-717,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,715,2,0,391.271897776304,0.0002324238912487,Synechococcus
ERR538173,23,000002232204__c1138-412,Eukaryota;Haptista;Haptophyta,727,1,0,192.4067447799569,0.0001142937291904,Haptophytes
ERR538173,23,000002274667__96-837,Eukaryota;Sar;Stramenopiles;Ochrophyta,742,2,0,377.03424111867565,0.000223966418117,Other eukaryotic phytoplankton
ERR538173,23,000002286071__c660-1,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,660,1,0,211.9389446288313,0.0001258962744263,Prochlorococcus
ERR538173,23,000002294272__c2081-1364,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,23,0,4480.826155244651,0.0026617067490149,Synechococcus
ERR538173,23,000002344949__c1285-568,Eukaryota;Haptista;Haptophyta,718,1,0,194.81852848889787,0.0001157263803919,Haptophytes
ERR538173,23,000002361214__5751-6426,Eukaryota;Viridiplantae;Chlorophyta,676,1,0,206.92263824708385,0.0001229164809488,Chlorophytes
ERR538173,23,000002377698__c1254-531,Eukaryota;Haptista;Haptophyta,724,2,0,386.4080205940018,0.0002295346439818,Haptophytes
ERR538173,23,000002388187__510-1227,Eukaryota;Sar;Stramenopiles;Ochrophyta;Pelagophyceae,718,1,0,194.81852848889787,0.0001157263803919,Pelagophytes
ERR538173,23,000002406640__390-582,Eukaryota;Haptista;Haptophyta,193,1,0,724.7653028757962,0.0004305261198001,Haptophytes
ERR538173,23,000002412992__c861-165,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,697,1,0,200.6882402511172,0.0001192131149518,Prochlorococcus
ERR538173,23,000002445022__408-1134,Eukaryota;Sar;Stramenopiles;Ochrophyta,727,1,0,192.4067447799569,0.0001142937291904,Other eukaryotic phytoplankton
ERR538173,23,000002531336__1221-1938,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,13,0,2532.640870355672,0.0015044429450953,Synechococcus
ERR538173,23,000002566944__78-777,Eukaryota;Haptista;Haptophyta,700,4,0,799.3125911715924,0.0004748088064081,Haptophytes
ERR538173,23,000002589288__c1127-410,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,2,0,389.6370569777957,0.0002314527607839,Synechococcus
ERR538173,23,000002678943__2541-3159,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,619,2,0,451.9538076091395,0.0002684702459496,Synechococcus
ERR538173,23,000002791801__1107-1308,Eukaryota;Haptista;Haptophyta,202,1,0,692.47377948034,0.0004113442629773,Haptophytes
ERR538173,23,000002791801__330-663,Eukaryota;Haptista;Haptophyta,334,3,0,1256.4045220511557,0.0007463312076774,Haptophytes
ERR538173,23,000002968784__c688-1,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,688,10,0,2033.1352246370448,0.0012077258883927,Synechococcus
ERR538173,23,000002982782__876-1572,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,697,2,0,401.3764805022344,0.0002384262299036,Prochlorococcus
ERR538173,23,000002985997__c912-195,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,3,0,584.4555854666936,0.0003471791411758,Synechococcus
ERR538173,23,000003027284__c220-1,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,220,6,0,3814.901003318964,0.0022661329396751,Prochlorococcus
ERR538173,23,000003084227__1494-1974,Eukaryota;Haptista;Haptophyta,481,1,0,290.8101942931989,0.0001727474867389,Haptophytes
ERR538173,23,000003084711__c1768-1186,Eukaryota;Haptista;Haptophyta,583,1,0,239.93088071188453,0.0001425240842562,Haptophytes
ERR538173,23,000003085316__c1004-287,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,2,0,389.6370569777957,0.0002314527607839,Synechococcus
ERR538173,23,000003152600__1536-2277,Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae,742,2,0,377.03424111867565,0.000223966418117,Other eukaryotic phytoplankton
ERR538173,23,000003161692__3-354,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,352,104,0,41328.09420262211,0.0245497735131473,Synechococcus
ERR538173,23,000003194080__324-1017,Eukaryota;Haptista;Haptophyta,694,1,0,201.5557686671883,0.0001197284454199,Haptophytes
ERR538173,23,000003247110__c1488-759,Eukaryota;Haptista;Haptophyta,730,3,0,574.8480963905288,0.0003414720868003,Haptophytes
ERR538173,23,000003286993__c2379-1659,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,721,1,0,194.00791047854185,0.0001152448559243,Synechococcus
ERR538173,23,000003301218__120-816,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,697,1,0,200.6882402511172,0.0001192131149518,Prochlorococcus
ERR538173,23,000003371295__c904-184,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,721,2,0,388.0158209570837,0.0002304897118486,Synechococcus
ERR538173,23,000003418478__717-1110,Eukaryota;Sar;Stramenopiles;Ochrophyta,394,3,0,1065.0738841753453,0.0006326767090463,Other eukaryotic phytoplankton
ERR538173,23,000003541212__21-381,Eukaryota;Haptista;Haptophyta,361,1,0,387.4784029225171,0.0002301704740205,Haptophytes
ERR538173,23,000003547039__c3023-2306,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,29,0,5649.737326178039,0.0033560650313666,Synechococcus
ERR538173,23,000003584960__3-213,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,211,1,0,662.936983199188,0.0003937987730873,Synechococcus
ERR538173,23,000003588032__c732-468,Eukaryota;Viridiplantae;Chlorophyta,265,1,0,527.8479375661459,0.0003135529853638,Chlorophytes
ERR538173,23,000003603902__c2289-1572,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,1,0,194.81852848889787,0.0001157263803919,Synechococcus
ERR538173,23,000003687590__417-1104,Eukaryota;Sar;Stramenopiles;Ochrophyta;Pelagophyceae,688,7,0,1423.1946572459312,0.0008454081218749,Pelagophytes
ERR538173,23,000003783101__c1957-1240,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,1,0,194.81852848889787,0.0001157263803919,Synechococcus
ERR538173,23,000003785720__c991-274,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,4,0,779.2741139555915,0.0004629055215678,Synechococcus
ERR538173,23,000003795936__c1730-1034,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,697,7,0,1404.8176817578203,0.0008344918046627,Prochlorococcus
ERR538173,23,000003831278__30-726,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,697,9,0,1806.1941622600543,0.0010729180345664,Prochlorococcus
ERR538173,23,000003858743__c1193-476,Eukaryota;Haptista;Haptophyta,718,1,0,194.81852848889787,0.0001157263803919,Haptophytes
ERR538173,23,000003864084__c1420-745,Eukaryota;Sar;Stramenopiles;Ochrophyta,676,1,0,206.92263824708385,0.0001229164809488,Other eukaryotic phytoplankton
ERR538173,23,000003875161__c1864-1138,Eukaryota;Sar;Stramenopiles;Ochrophyta;Dictyochophyceae,727,1,0,192.4067447799569,0.0001142937291904,Other eukaryotic phytoplankton
ERR538173,23,000003993252__1023-1698,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,676,30,0,6207.679147412515,0.0036874944284654,Synechococcus
ERR538173,23,000004055657__c855-537,Eukaryota;Sar;Stramenopiles;Ochrophyta,319,5,0,2192.47184098791,0.0013023752526868,Other eukaryotic phytoplankton
ERR538173,23,000004210393__1458-2009,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,552,98,0,24833.715468465238,0.0147517591121364,Synechococcus
ERR538173,23,000004220698__c10715-10607,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,109,2,0,2566.6000633950216,0.0015246154334205,Synechococcus
ERR538173,23,000004244989__c1666-1522,Eukaryota;Haptista;Haptophyta,145,1,0,964.6876100346806,0.0005730451111822,Haptophytes
ERR538173,23,000004245598__1167-1863,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,697,1,0,200.6882402511172,0.0001192131149518,Prochlorococcus
ERR538173,23,000004304137__c4248-3522,Eukaryota;Sar;Stramenopiles;Ochrophyta;Dictyochophyceae,727,3,0,577.2202343398708,0.0003428811875712,Other eukaryotic phytoplankton
ERR538173,23,000004312981__c18570-17850,Eukaryota;Sar;Stramenopiles;Ochrophyta,721,7,0,1358.055373349793,0.0008067139914701,Other eukaryotic phytoplankton
ERR538173,23,000004329367__2238-2814,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,577,3,0,727.2774876344645,0.0004320184113765,Synechococcus
ERR538173,23,000004329954__c552-102,Eukaryota;Haptista;Haptophyta,451,8,0,2481.236424922904,0.0014739076030407,Haptophytes
ERR538173,23,000004331577__c1028-308,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,721,12,0,2328.0949257425023,0.0013829382710916,Synechococcus
ERR538173,23,000004367781__c1147-424,Eukaryota;Haptista;Haptophyta,724,1,0,193.2040102970009,0.0001147673219909,Haptophytes
ERR538173,23,000004370893__4899-5628,Eukaryota;Haptista;Haptophyta,730,1,0,191.61603213017628,0.0001138240289334,Haptophytes
ERR538173,23,000004398972__c1488-747,Eukaryota;Sar;Stramenopiles;Ochrophyta,742,1,0,188.51712055933783,0.0001119832090585,Other eukaryotic phytoplankton
ERR538173,23,000004480229__c1345-652,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,694,5,0,1007.7788433359416,0.0005986422270995,Prochlorococcus
ERR538173,23,000004741102__4077-4410,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,334,3,0,1256.4045220511557,0.0007463312076774,Synechococcus
ERR538173,23,000004745282__c875-155,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,721,26,0,5044.205672442088,0.0029963662540318,Synechococcus
ERR538173,23,000004872040__1416-2133,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,21,0,4091.189098266856,0.002430253988231,Synechococcus
ERR538173,23,000004997451__456-1173,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,6,0,1168.9111709333872,0.0006943582823517,Synechococcus
ERR538173,23,000005001110__c1142-425,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,6,0,1168.9111709333872,0.0006943582823517,Synechococcus
ERR538173,23,000005040744__c2878-2161,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,3,0,584.4555854666936,0.0003471791411758,Synechococcus
ERR538173,23,000005053593__54-750,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,697,1,0,200.6882402511172,0.0001192131149518,Prochlorococcus
ERR538173,23,000005067918__669-1395,Eukaryota;Sar;Stramenopiles;Ochrophyta,727,2,0,384.8134895599138,0.0002285874583808,Other eukaryotic phytoplankton
ERR538173,23,000005120187__771-1494,Eukaryota;Haptista;Haptophyta,724,1,0,193.2040102970009,0.0001147673219909,Haptophytes
ERR538173,23,000005166359__c3692-2996,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,697,4,0,802.7529610044687,0.0004768524598072,Prochlorococcus
ERR538173,23,000005264214__c1680-1098,Eukaryota;Haptista;Haptophyta,583,2,0,479.86176142376905,0.0002850481685125,Haptophytes
ERR538173,23,000005272674__1890-2607,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,2,0,389.6370569777957,0.0002314527607839,Synechococcus
ERR538173,23,000005288287__c1076-380,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,697,3,0,602.0647207533516,0.0003576393448554,Prochlorococcus
ERR538173,23,000005290662__c591-1,Eukaryota;Sar;Stramenopiles;Ochrophyta;Pelagophyceae,591,1,0,236.68308537229893,0.0001405948242325,Pelagophytes
ERR538173,23,000005329311__1623-2229,Eukaryota;Haptista;Haptophyta,607,1,0,230.4443220016947,0.0001368888651094,Haptophytes
ERR538173,23,000005337513__c1585-889,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococcus_marinus,697,4,0,802.7529610044687,0.0004768524598072,Prochlorococcus
ERR538173,23,000005340251__1341-1743,Eukaryota;Sar;Stramenopiles;Ochrophyta,403,1,0,347.0960383499471,0.0002061824841722,Other eukaryotic phytoplankton
ERR538173,23,000005425325__c1331-635,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,697,1,0,200.6882402511172,0.0001192131149518,Prochlorococcus
ERR538173,23,000005426284__c1256-575,Eukaryota;Sar;Stramenopiles;Ochrophyta,682,4,0,820.4088179180568,0.0004873404171344,Other eukaryotic phytoplankton
ERR538173,23,000005475942__c432-1,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,432,4,0,1295.1824393984136,0.0007693661214946,Synechococcus
ERR538173,23,000005526423__480-672,Eukaryota;Haptista;Haptophyta,193,3,0,2174.2959086273886,0.0012915783594003,Haptophytes
ERR538173,23,000005526423__480-672,Eukaryota;Haptista;Haptophyta,193,3,0,2174.2959086273886,0.0012915783594003,Haptophytes
ERR538173,23,000005622091__3-240,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,238,3,0,1763.1895393491009,0.0010473723670767,Synechococcus
ERR538173,23,000005639049__c1403-704,Eukaryota;Haptista;Haptophyta,700,2,0,399.6562955857962,0.000237404403204,Haptophytes
ERR538173,23,000005811198__171-348,Eukaryota;Haptista;Haptophyta,178,1,0,785.8410306462285,0.0004668064107945,Haptophytes
ERR538173,23,000005811815__c855-663,Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania,193,4,0,2899.061211503185,0.0017221044792004,Haptophytes
ERR538173,23,000005945604__c905-188,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,62,0,12078.748766311668,0.007175035584301,Synechococcus
ERR538173,23,000006116513__843-1508,Eukaryota;Haptista;Haptophyta,666,1,0,210.02958476731035,0.0001247620737558,Haptophytes
ERR538173,23,000006131907__996-1713,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,1,0,194.81852848889787,0.0001157263803919,Synechococcus
ERR538173,23,000006227768__1104-1827,Eukaryota;Haptista;Haptophyta,724,1,0,193.2040102970009,0.0001147673219909,Haptophytes
ERR538173,23,000006235570__c3035-2309,Eukaryota;Sar;Stramenopiles;Ochrophyta;Dictyochophyceae,727,3,0,577.2202343398708,0.0003428811875712,Other eukaryotic phytoplankton
ERR538173,23,000006281750__c879-189,Eukaryota;Haptista;Haptophyta,691,1,0,202.43082989150315,0.0001202482505375,Haptophytes
ERR538173,23,000006389154__c8145-7428,Eukaryota;Haptista;Haptophyta,718,1,0,194.81852848889787,0.0001157263803919,Haptophytes
ERR538173,23,000006404636__c3177-2826,Eukaryota;Sar;Stramenopiles;Ochrophyta,352,1,0,397.38552117905874,0.0002360555145494,Other eukaryotic phytoplankton
ERR538173,23,000006532420__c1152-429,Eukaryota;Haptista;Haptophyta,724,2,0,386.4080205940018,0.0002295346439818,Haptophytes
ERR538173,23,000006614367__c1610-914,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,697,6,0,1204.1294415067032,0.0007152786897109,Prochlorococcus
ERR538173,23,000006708225__c2528-1811,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,98,0,19092.215791911996,0.0113411852784113,Synechococcus
ERR538173,23,000006739483__840-1557,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,5,0,974.0926424444892,0.0005786319019597,Synechococcus
ERR538173,23,000006841538__1692-2433,Eukaryota;Sar;Stramenopiles;Ochrophyta,742,1,0,188.51712055933783,0.0001119832090585,Other eukaryotic phytoplankton
ERR538173,23,000006851952__c649-1,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,649,1,0,215.5311301310149,0.0001280301095861,Synechococcus
ERR538173,23,000006896473__14739-15480,Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae,742,1,0,188.51712055933783,0.0001119832090585,Other eukaryotic phytoplankton
ERR538173,23,000006980356__522-1133,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,612,1,0,228.56160695266124,0.0001357704920284,Synechococcus
ERR538173,23,000006987130__c1192-475,Eukaryota;Haptista;Haptophyta,718,1,0,194.81852848889787,0.0001157263803919,Haptophytes
ERR538173,23,000007006434__1968-2685,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,80,0,15585.48227911183,0.0092581104313562,Synechococcus
ERR538173,23,000007017246__c509-2,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,508,2,0,550.7074939174357,0.0003271320516591,Synechococcus
ERR538173,23,000007033545__c1016-290,Eukaryota;Sar;Stramenopiles;Ochrophyta,727,2,0,384.8134895599138,0.0002285874583808,Other eukaryotic phytoplankton
ERR538173,23,000007110335__c1029-312,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,1,0,194.81852848889787,0.0001157263803919,Synechococcus
ERR538173,23,000007170736__4221-4953,Eukaryota;Sar;Stramenopiles;Ochrophyta,733,7,0,1335.8225432267404,0.0007935072139835,Other eukaryotic phytoplankton
ERR538173,23,000007434325__27-744,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,86,0,16754.393450045216,0.0099524687137079,Synechococcus
ERR538173,23,000007462748__c1287-750,Eukaryota;Haptista;Haptophyta,538,1,0,259.99944880116857,0.0001544452437201,Haptophytes
ERR538173,23,000007482744__69-786,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,72,0,14026.934051200647,0.0083322993882205,Synechococcus
ERR538173,23,000007723624__c1777-1045,Eukaryota;Sar;Stramenopiles;Ochrophyta,733,4,0,763.3271675581374,0.0004534326937048,Other eukaryotic phytoplankton
ERR538173,23,000007777544__c1485-768,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,39,0,7597.922611067017,0.0045133288352861,Synechococcus
ERR538173,23,000008043842__777-1081,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus,305,1,0,458.6219785410776,0.0002724312823653,Prochlorococcus
ERR538173,23,000008053554__c6873-6231,Eukaryota;Haptista;Haptophyta,643,2,0,435.0846141680519,0.0002584495835814,Haptophytes
ERR538173,23,000008101154__c714-1,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,714,2,0,391.8198976331336,0.0002327494149059,Synechococcus
ERR538173,23,000008116191__c1774-1051,Eukaryota;Haptista;Haptophyta,724,5,0,966.0200514850046,0.0005738366099545,Haptophytes
ERR538173,23,000008280269__c155-1,Eukaryota;Haptista;Haptophyta,155,1,0,902.4496997098624,0.0005360744588478,Haptophytes
ERR538173,23,000008404154__867-1584,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,4,0,779.2741139555915,0.0004629055215678,Synechococcus
ERR538173,23,000008507749__c1231-571,Eukaryota;Sar;Stramenopiles;Ochrophyta;Pelagophyceae,661,1,0,211.6183108245517,0.0001257058110762,Pelagophytes
ERR538173,23,000008629063__1974-2463,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,490,1,0,285.46878256128304,0.0001695745737171,Synechococcus
ERR538173,23,000008749695__276-993,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,72,0,14026.934051200647,0.0083322993882205,Synechococcus
ERR538173,23,000008749872__2493-2718,Eukaryota;Sar;Stramenopiles;Ochrophyta,226,1,0,618.9367409514543,0.0003676616863779,Other eukaryotic phytoplankton
ERR538173,23,000008876301__3-639,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,637,2,0,439.1827424019739,0.0002608839595649,Synechococcus
ERR538173,23,000008901617__c1659-1317,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,343,1,0,407.8125465161186,0.0002422493910245,Synechococcus
ERR538173,23,000008922882__555-1242,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,688,2,0,406.6270449274089,0.0002415451776785,Synechococcus
ERR538173,23,000008984842__c5417-4700,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,132,0,25716.04576053452,0.0152758822117377,Synechococcus
